"場次","日期","類型","客隊","主隊","客隊得分","主隊得分","場地","開始售票時間","開始比賽時間","比賽歷經時間","比賽狀態","備註","calendarEventId"
"1","03/29","例行賽","統一獅","中信兄弟","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","17:05","2h","","",""
"2","03/30","例行賽","台鋼雄鷹","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","14:05","2h","","",""
"3","03/30","例行賽","味全龍","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","15:05","2h","","",""
"4","03/30","例行賽","富邦悍將","中信兄弟","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","17:05","2h","","",""
"5","04/02","例行賽","台鋼雄鷹","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"6","04/02","例行賽","樂天桃猿","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"7","04/02","例行賽","中信兄弟","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"8","04/03","例行賽","台鋼雄鷹","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"9","04/03","例行賽","樂天桃猿","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"10","04/03","例行賽","中信兄弟","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"11","04/04","例行賽","富邦悍將","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"12","04/04","例行賽","統一獅","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"13","04/04","例行賽","樂天桃猿","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"14","04/05","例行賽","富邦悍將","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","17:05","2h","","",""
"15","04/05","例行賽","統一獅","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","17:05","2h","","",""
"16","04/05","例行賽","樂天桃猿","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","17:05","2h","","",""
"17","04/06","例行賽","富邦悍將","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","14:05","2h","","",""
"18","04/06","例行賽","樂天桃猿","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","14:05","2h","","",""
"19","04/06","例行賽","統一獅","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","17:05","2h","","",""
"20","04/08","例行賽","富邦悍將","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"21","04/08","例行賽","統一獅","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"22","04/09","例行賽","富邦悍將","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"23","04/09","例行賽","統一獅","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"24","04/09","例行賽","味全龍","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"25","04/10","例行賽","味全龍","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"26","04/11","例行賽","中信兄弟","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"27","04/11","例行賽","台鋼雄鷹","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"28","04/11","例行賽","味全龍","統一獅","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","18:35","2h","","",""
"29","04/12","例行賽","中信兄弟","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","17:05","2h","","",""
"30","04/12","例行賽","台鋼雄鷹","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","17:05","2h","","",""
"31","04/12","例行賽","味全龍","統一獅","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","17:05","2h","","",""
"32","04/13","例行賽","中信兄弟","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","14:05","2h","","",""
"33","04/13","例行賽","台鋼雄鷹","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","14:05","2h","","",""
"34","04/13","例行賽","味全龍","統一獅","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","14:05","2h","","",""
"35","04/15","例行賽","台鋼雄鷹","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"36","04/15","例行賽","樂天桃猿","味全龍","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","18:35","2h","","",""
"37","04/16","例行賽","台鋼雄鷹","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"38","04/16","例行賽","樂天桃猿","味全龍","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","18:35","2h","","",""
"39","04/16","例行賽","富邦悍將","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"40","04/17","例行賽","富邦悍將","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"41","04/18","例行賽","富邦悍將","中信兄弟","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","18:35","2h","","",""
"42","04/18","例行賽","味全龍","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"43","04/18","例行賽","統一獅","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"44","04/19","例行賽","富邦悍將","中信兄弟","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","17:05","2h","","",""
"45","04/19","例行賽","味全龍","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","17:05","2h","","",""
"46","04/19","例行賽","統一獅","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","17:05","2h","","",""
"47","04/20","例行賽","味全龍","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","15:05","2h","","",""
"48","04/20","例行賽","統一獅","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","14:05","2h","","",""
"49","04/20","例行賽","富邦悍將","中信兄弟","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","14:05","2h","","",""
"50","04/22","例行賽","味全龍","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"51","04/22","例行賽","中信兄弟","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"52","04/23","例行賽","味全龍","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"53","04/23","例行賽","中信兄弟","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"54","04/23","例行賽","台鋼雄鷹","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"55","04/24","例行賽","台鋼雄鷹","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"56","04/25","例行賽","樂天桃猿","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"57","04/25","例行賽","中信兄弟","味全龍","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","18:35","2h","","",""
"58","04/25","例行賽","台鋼雄鷹","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"59","04/26","例行賽","樂天桃猿","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","17:05","2h","","",""
"60","04/26","例行賽","中信兄弟","味全龍","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","17:05","2h","","",""
"61","04/26","例行賽","台鋼雄鷹","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","17:05","2h","","",""
"62","04/27","例行賽","樂天桃猿","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","14:05","2h","","",""
"63","04/27","例行賽","中信兄弟","味全龍","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","14:05","2h","","",""
"64","04/27","例行賽","台鋼雄鷹","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","14:05","2h","","",""
"65","04/29","例行賽","富邦悍將","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"66","04/29","例行賽","樂天桃猿","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"67","04/30","例行賽","富邦悍將","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"68","04/30","例行賽","樂天桃猿","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"69","04/30","例行賽","統一獅","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"70","05/01","例行賽","統一獅","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"71","05/02","例行賽","中信兄弟","台鋼雄鷹","","","嘉義市KANO棒球場, 600台灣嘉義市東區山仔頂249-1號","","18:35","2h","","",""
"72","05/02","例行賽","統一獅","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"73","05/02","例行賽","味全龍","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"74","05/03","例行賽","中信兄弟","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","17:05","2h","","",""
"75","05/03","例行賽","統一獅","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","17:05","2h","","",""
"76","05/03","例行賽","味全龍","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","17:05","2h","","",""
"77","05/04","例行賽","中信兄弟","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","14:05","2h","","",""
"78","05/04","例行賽","統一獅","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","14:05","2h","","",""
"79","05/04","例行賽","味全龍","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","14:05","2h","","",""
"80","05/06","例行賽","味全龍","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"81","05/06","例行賽","樂天桃猿","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"82","05/07","例行賽","統一獅","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"83","05/07","例行賽","味全龍","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"84","05/07","例行賽","樂天桃猿","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"85","05/09","例行賽","台鋼雄鷹","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"86","05/09","例行賽","富邦悍將","統一獅","","","花蓮縣立德興棒球場, 970台灣花蓮縣花蓮市達固湖彎大路1號","","18:35","2h","","",""
"87","05/09","例行賽","樂天桃猿","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"88","05/10","例行賽","台鋼雄鷹","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","17:05","2h","","",""
"89","05/10","例行賽","富邦悍將","統一獅","","","花蓮縣立德興棒球場, 970台灣花蓮縣花蓮市達固湖彎大路1號","","17:05","2h","","",""
"90","05/10","例行賽","樂天桃猿","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","17:05","2h","","",""
"91","05/11","例行賽","台鋼雄鷹","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","14:05","2h","","",""
"92","05/11","例行賽","富邦悍將","統一獅","","","花蓮縣立德興棒球場, 970台灣花蓮縣花蓮市達固湖彎大路1號","","14:05","2h","","",""
"93","05/11","例行賽","樂天桃猿","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","14:05","2h","","",""
"94","05/13","例行賽","台鋼雄鷹","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
