"場次","日期","類型","客隊","主隊","客隊得分","主隊得分","場地","開始售票時間","開始比賽時間","比賽歷經時間","比賽狀態","備註","calendarEventId"
"1","2/17","練習賽","WBCQ台灣","味全龍","","","天母","","13:00","2h","","","9b35pnkrjlak6ok918sj2rm4h0@google.com"
"2","2/17","交流賽","WBCQ西班牙","台鋼","","","立德","","13:00","2h","","","qgr2ecvjro8prheppa8esaskdk@google.com"
"3","2/17","練習賽","統一白","統一紅","","","台南","","13:00","2h","","","62dism44cr7v32kld3u964g7oc@google.com"
"4","2/18","熱身賽","中信兄弟","樂天巨人","","","亞太國際棒球訓練中心成棒副球場(台南市安南區環館路376號)","","13:00","2h","","","q0bfsldhuvdq3pu4uuqokdsghk@google.com"
"5","2/18","交流賽","WBCQ西班牙","味全龍","","","斗六","","13:00","2h","","","mt80b4kobhtck0kml97eddjbq4@google.com"
"6","2/18","交流賽","WBCQ南非","台鋼雄鷹","","","立德","","13:00","2h","","","b8vgkr5uv0i3eve9qvohjnr6qo@google.com"
"7","2/18","交流賽","樂天巨人二軍","富邦悍將","","","嘉義稻江","","13:00","2h","","","o4rs6rjc3vrm6d3jgnp940rhcs@google.com"
"8","2/19","練習賽","統一獅","富邦悍將","","","斗六","","13:00","2h","","","fi14veltt4tlsukqme6fbdgjcs@google.com"
"9","2/20","熱身賽","培證英雄","中信兄弟","","","屏東","","13:00","2h","","","87kdlf216sm72uboecokfec59o@google.com"
"10","2/20","練習賽","統一獅","富邦悍將","","","嘉義稻江","","13:00","2h","","","oo9t1hdrmipjc6ab33jqlf6th8@google.com"
"11","2/20","練習賽","台鋼雄鷹","味全龍","","","斗六","","13:00","2h","","","d7mg9makk4dfg6e3dkj7u3kutc@google.com"
"12","2/21","熱身賽","統一獅","中信兄弟","","","屏東","","13:00","2h","","","ue8gh2e95ehk39f24m42bn1o4k@google.com"
"13","2/21","交流賽","樂天桃猿","樂天巨人二軍","","","亞太國際棒球訓練中心成棒副球場(台南市安南區環館路376號)","","13:00","2h","","","95941svombv035bng1pkukavd4@google.com"
"14","2/21","交流賽","韓國金浦大學","味全龍","","","斗六","","13:00","2h","","","pas3kmu2ec7e1r9p5e267iqf7c@google.com"
"15","2/22","練習賽","台鋼雄鷹","味全龍","","","斗六","","13:00","2h","","","bgodpnvfefpe8mp9l53kr2fu5g@google.com"
"16","2/23","熱身賽","培證英雄","中信兄弟","","","屏東","","13:00","2h","","","jogpop92qkvl875g9u2h1f4huk@google.com"
"17","2/23","交流賽","樂天桃猿","樂天巨人二軍","","","亞太國際棒球訓練中心成棒副球場(台南市安南區環館路376號)","","13:00","2h","","","ktdgupb24n4t801v69fsgv937c@google.com"
"18","2/23","練習賽","台鋼雄鷹","富邦悍將","","","嘉義稻江","","13:00","2h","","","17b4alfcrb3i7nph482lncdtjk@google.com"
"19","2/24","熱身賽","NC恐龍","台鋼雄鷹","","","亞太國際棒球訓練中心成棒主球場(台南市安南區環館路376號)","","13:00","2h","","","8nb030ga9t7e46ga3764f6lqn0@google.com"
"20","2/24","交流賽","味全龍","火腿鬥士","","","名護","","12:00","2h","","","j293jjufr2hse9sv33osugedn8@google.com"
"21","2/25","熱身賽","NC恐龍","富邦悍將","","","亞太國際棒球訓練中心成棒主球場(台南市安南區環館路376號)","","13:00","2h","","","e64tdkkijigo7v0lu7hq5c893k@google.com"
"22","2/25","熱身賽","培證英雄","中信兄弟","","","屏東","","13:00","2h","","","o6h098ue2h2lf6041kpl2lgino@google.com"
"23","2/25","練習賽","台鋼雄鷹","統一獅","","","台南","","13:30","2h","","","ktr94ifa2jd6di7pabsirrd6es@google.com"
"24","2/26","熱身賽","NC恐龍","統一獅","","","亞太國際棒球訓練中心成棒主球場(台南市安南區環館路376號)","","13:00","2h","","","pcfs7avs9afl41dttk3e1n7igk@google.com"
"25","2/26","熱身賽","培證英雄","中信兄弟","","","屏東","","13:00","2h","","","rk7oknpekggvps5uq82qnlbi28@google.com"
"26","2/27","熱身賽","NC恐龍","中信兄弟","","","亞太國際棒球訓練中心成棒主球場(台南市安南區環館路376號)","","13:00","2h","","","us21gjd6bu370bp1g2iith2tk4@google.com"
"27","2/27","交流賽","樂天桃猿","樂天巨人二軍","","","亞太國際棒球訓練中心成棒副球場(台南市安南區環館路376號)","","13:00","2h","","","7q58a79ocfh19531depgom477c@google.com"
"28","2/27","練習賽","富邦悍將","味全龍","","","斗六","","13:00","2h","","","8ot7snodu9g0qq4d5m754ep520@google.com"
"29","2/27","交流賽","Oisix新潟","台鋼雄鷹","","","澄清湖","","18:35","2h","","","6l4hbu7ni6ck9dptab3tlugs4g@google.com"
"30","2/28","練習賽","富邦悍將","味全龍","","","斗六","","13:00","2h","","","onitq4h99065s054e4e6mcs7uk@google.com"
"31","2/28","交流賽","台鋼雄鷹","Oisix新潟","","","澄清湖","","16:05","2h","","","6adu4phmnfttovv15g7630es3c@google.com"
"32","3/1","熱身賽","NC恐龍","樂天桃猿","","","亞太國際棒球訓練中心成棒主球場(台南市安南區環館路376號)","","13:00","2h","","","uaohbu0hg71o4j804h8e7efarg@google.com"
"33","3/1","交流賽","日本火腿","統一獅","","","台北大巨蛋","","14:00","2h","","","02d8ibg2pdjjhfst039s33vk1o@google.com"
"34","3/1","交流賽","台鋼雄鷹","培證英雄","","","澄清湖","","13:00","2h","","","fop7ih906igq0gpl8gukmbt0t4@google.com"
"35","3/1","交流賽","樂天巨人二軍","味全龍","","","斗六","","13:00","2h","","","u1ceeqtp5fnnrn0tqcassdso00@google.com"
"36","3/2","熱身賽","NC恐龍","富邦悍將","","","亞太國際棒球訓練中心成棒主球場(台南市安南區環館路376號)","","13:00","2h","","","0caqnhbgdp30h3dh95j4jt2l5o@google.com"
"37","3/2","交流賽","日本火腿","中信兄弟","","","台北大巨蛋","","14:00","2h","","","jlcg3a58c9kmr8ok6h09ihbanc@google.com"
"38","3/2","交流賽","台鋼雄鷹","培證英雄","","","澄清湖","","13:00","2h","","","ca7qsoot5gbblbusndivh7s55c@google.com"
"39","3/3","熱身賽","NC恐龍","中信兄弟","","","亞太國際棒球訓練中心成棒主球場(台南市安南區環館路376號)","","13:00","2h","","","k8687bonre9acqumtpa052ai58@google.com"
"40","3/3","交流賽","統一獅","樂天巨人二軍","","","亞太國際棒球訓練中心成棒副球場(台南市安南區環館路376號)","","13:00","2h","","","9io9mq5tvnai8os0h2lomnchrk@google.com"
"41","3/4","熱身賽","NC恐龍","味全龍","","","亞太國際棒球訓練中心成棒主球場(台南市安南區環館路376號)","","13:00","2h","","","3m2u41eo7q1a7ckm879vqhith8@google.com"
"42","3/4","交流賽","味全龍","培證英雄","","","斗六","","13:00","2h","","","iv0chlmhqs4vbsu6rra4lh694c@google.com"
"43","3/4","練習賽","台鋼雄鷹","統一獅","","","台南","","13:00","2h","","","h5os9ut0rdos0qda7rh10p9ogs@google.com"
"44","3/5","交流賽","味全龍","樂天巨人二軍","","","亞太國際棒球訓練中心成棒副球場(台南市安南區環館路376號)","","13:00","2h","","","1k117mpcg3ns76sq3v0nm2r02k@google.com"
"45","3/5","練習賽","台鋼雄鷹","富邦悍將","","","嘉義稻江","","13:00","2h","","","46mn80uo6j731flfo3p0q60htg@google.com"
"46","3/6","練習賽","味全龍","統一獅","","","台南","","13:00","2h","","","2a8n0b5tdkfl7roojkm0nilpf8@google.com"
"47","3/7","熱身賽","味全龍","中信兄弟","","","九如","","13:00","2h","","","u1ds588i4u2nutf2jre80bb0u0@google.com"
"48","3/7","練習賽","台鋼雄鷹","統一獅","","","台南","","13:00","2h","","","5r1nmfp4pispmbthdfddn9o1ao@google.com"
"49","3/8","熱身賽","味全龍","中信兄弟","","","斗六","","13:00","2h","","","2nh1dc91n5k8i581a1sh6gij8c@google.com"
"50","3/9","練習賽","台鋼雄鷹","統一獅","","","亞太國際棒球訓練中心成棒主球場(台南市安南區環館路376號)","","13:00","2h","","","3e39ao1s1mvu9gl8ce1stnoars@google.com"
"51","3/9","熱身賽","味全龍","富邦悍將","","","新莊","","17:00","2h","","","ufjcp3bf6p029phroqc4k0vrr8@google.com"
"52","3/10","練習賽","台南市","統一獅","","","亞太國際棒球訓練中心成棒主球場(台南市安南區環館路376號)","","13:00","2h","","","5o01hmmt7rcsu880r9c7e2jh40@google.com"
"53","3/11","熱身賽","台鋼雄鷹","味全龍","","","斗六","","13:00","2h","","","2lqt3tilfrpmer85n1nnukj7bc@google.com"
"54","3/11","熱身賽","台北興富發","味全龍","","","斗六副","","13:00","2h","","","t6cebg0rnmravfljldar17jsok@google.com"
"55","3/11","練習賽","富邦悍將","統一獅","","","亞太國際棒球訓練中心成棒主球場(台南市安南區環館路376號)","","13:00","2h","","","cjojv6g99na5oc46q1c9u6cabk@google.com"
"56","3/12","熱身賽","富邦悍將","樂天桃猿","","","嘉義市","","18:35","2h","","","6hqvm0nq19jpb5i2g3oo687920@google.com"
"57","3/12","練習賽","台南市","統一獅","","","亞太國際棒球訓練中心成棒主球場(台南市安南區環館路376號)","","13:00","2h","","","50bu0ggk335gdocqtoi8s3pfd4@google.com"
"58","3/13","熱身賽","台鋼雄鷹","樂天桃猿","","","嘉義市","","18:35","2h","","","t17bi9g1vudlol12o4r12h8h1k@google.com"
"59","3/13","熱身賽","屏東紅尾","味全龍","","","斗六副","","13:00","2h","","","npqsu58dhcl0d66ss70jj7m6ig@google.com"
"60","3/14","熱身賽","台鋼雄鷹","富邦悍將","","","嘉義市","","18:35","2h","","","f24l2d7iech63n9t541jun6usc@google.com"
"61","3/14","熱身賽","統一獅","味全龍","","","斗六","","18:35","2h","","","fqj8rei9c3r8bsrr9euqscl6t8@google.com"
"62","3/14","熱身賽","樂天桃猿","中信兄弟","","","洲際","","18:35","2h","","","fot5voa3a28ogojr24lm7rs9ic@google.com"
"63","3/15","熱身賽","統一獅","富邦悍將","","","嘉義市","","17:05","2h","","","m37iopkivfv6a70iqmcudcetf4@google.com"
"64","3/15","熱身賽","味全龍","樂天桃猿","","","斗六","","17:05","2h","","","08q1kt4baaearhkbv1rvrpki2s@google.com"
"65","3/15","熱身賽","台鋼雄鷹","中信兄弟","","","洲際","","17:05","2h","","","jnesuj1i8ldj68k9d5o4du2488@google.com"
"66","3/16","熱身賽","樂天桃猿","富邦悍將","","","嘉義市","","14:05","2h","","","f2g0a2q682880npfpd1l4r4ngo@google.com"
"67","3/16","熱身賽","台鋼雄鷹","味全龍","","","斗六","","17:05","2h","","","k3amqp8d1e3mian178kodvgjq0@google.com"
"68","3/16","熱身賽","統一獅","中信兄弟","","","洲際","","17:05","2h","","","anppksh5emipi8eet83dh4kbpg@google.com"
"69","3/17","熱身賽","味全龍","富邦悍將","","","斗六","","18:35","2h","","","r5j37ooi9ds4pugbfcdhkkf018@google.com"
"70","3/18","熱身賽","統一獅","樂天桃猿","","","嘉義市","","18:35","2h","","","brpcur3qh0frfh2crhvdlje72o@google.com"
"71","3/19","熱身賽","樂天桃猿","台鋼雄鷹","","","嘉義市","","18:35","2h","","","ekmp4j84ti91ssc63av12fp51c@google.com"
